transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
bá bèláʔ,Ya he leído,I have already read,,BMAF02172021-1-combine:44:21.7,0:01.1,44:21.7,44:22.8,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[44_217-44_228].wav,52495152-2
lén,se llama,it's called,,BMAF02172021-1-combine:18:12.9,0:01.0,18:12.9,18:13.9,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[18_129-18_139].wav,42644990-2
lìʃlé,su/vuestra casa,your house,,BMAF01152021-1-combine:35:32.0,0:00.7,35:32.0,35:32.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[35_320-35_327].wav,74314987-1
tʂèkàkbéʔ,sus/ustedes,their,,BMAF01152021-1-combine:30:27.3,0:00.8,30:27.3,30:28.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[30_273-30_281].wav,24372027-2
ʂnàkàkbéʔ,su madre,their mother (informal),,BMAF01292021-1-combine:45:22.2,0:01.5,45:22.2,45:23.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_222-45_237].wav,30531691-2
wênlè zó dà ʒèʁò nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:37:59.2,0:03.2,37:59.2,38:02.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[37_592-38_024].wav,29287496-2
ríkwḛ̀ ʒàwbá jètʰ,su (resp) perro come tortilla,his/her (resp) dog eats tortilla,,BMAF01292021-1-combine:15:20.1,0:01.9,15:20.1,15:22.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[15_201-15_220].wav,30733003-1
ʂîskàkbéʔ,su agua,their water (informal),,BMAF01292021-1-combine:26:25.4,0:01.0,26:25.4,26:26.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[26_254-26_264].wav,60010228-2
ʂnàkàkbéʔ,su madre,their mother (informal),,BMAF01292021-1-combine:46:12.1,0:01.3,46:12.1,46:13.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[46_121-46_134].wav,30531691-2
lè ʒḛ̀ʁò nìss jòɣòʒà,Tú tomas agua todos los días,You drink water everyday,,BMAF02032021-1-combine:33:28.9,0:02.7,33:28.9,33:31.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[33_289-33_316].wav,53183005-1
nòlé,mujer,woman,,BMAF01082021-1-combine:01:09.5,0:00.5,1:09.5,1:10.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[01_095-01_100].wav,68084956-1
lén,eso,that (with pointing),,BMAF02172021-1-combine:14:23.7,0:00.7,14:23.7,14:24.4,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[14_237-14_244].wav,79629812-1
ʂlálè niǎ̰,me duele mi pie,my foot hurts,,BMAF01152021-1-combine:17:28.0,0:01.2,17:28.0,17:29.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[17_280-17_293].wav,30124810-1
ʒêʁà nîss jògòʒà,Yo sí tomo agua todos los días,I do drink water everyday,,BMAF02032021-1-combine:13:42.0,0:01.4,13:42.0,13:43.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[13_420-13_434].wav,24063248-1
békò tʂiáʔ ʒàwbá jèt,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:05:07.7,0:02.2,5:07.7,5:09.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[05_077-05_099].wav,39437248-2
láwàʔ,ojo,my eye,,BMAF01152021-1-combine:01:42.2,0:00.6,1:42.2,1:42.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[01_422-01_428].wav,67772202-2
lè ʒḛ̀ʁò nìss jòɣòʒà,Tú tomas agua todos los días,You drink water everyday,,BMAF02032021-1-combine:33:41.0,0:02.4,33:41.0,33:43.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[33_410-33_433].wav,53183005-2
bèɳéʔ,persona,person,,BMAF01082021-1-combine:34:34.0,0:00.7,34:34.0,34:34.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_340-34_347].wav,14488708-2
békò tʂiáʔ ʒàwbá jètʰ,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:05:39.5,0:02.5,5:39.5,5:42.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[05_395-05_420].wav,05122030-2
ʒô̰ ʒèʁ ʒó nìss jòɣòʒà,nosotros tomamos agua todos los días,we.incl drink water everyday,,BMAF02032021-1-combine:45:49.4,0:02.5,45:49.4,45:51.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[45_494-45_519].wav,10051830-2
bèné bjǒ,hombre,man,,BMAF01082021-1-combine:22:53.5,0:00.8,22:53.5,22:54.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[22_535-22_543].wav,62582602-1
ʂàʔ,mi padre,my father,,BMAF01292021-1-combine:28:56.6,0:00.5,28:56.6,28:57.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[28_566-28_572].wav,43669859-2
nìʔá,pie,my foot,,BMAF01152021-1-combine:09:00.8,0:00.5,9:00.8,9:01.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[09_008-09_013].wav,14274641-2
nèdáʔ,Yo,I,,BMAF01082021-1-combine:04:29.8,0:00.4,4:29.8,4:30.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[04_298-04_303].wav,61229333-1
ʂìʒà,Zapoteco,Zapotec,,BMAF01152021-1-combine:05:31.5,0:00.9,5:31.5,5:32.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[05_315-05_324].wav,78940926-1
nèðá wḛ̀ʁá nîss néʁé,Tomé agua ayer,I drank water yesterday,,BMAF02032021-1-combine:18:56.1,0:02.3,18:56.1,18:58.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[18_561-18_584].wav,24744971-2
tʂèlé,su/tu,your,,BMAF01152021-1-combine:29:34.7,0:00.6,29:34.7,29:35.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[29_347-29_353].wav,13301483-1
nèdá wèʁá lâl nís nèʁê,Ayer bebí mucha agua,I drank a lot of water yesterday,,BMAF01082021-1-combine:17:33.2,0:02.5,17:33.2,17:35.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[17_332-17_357].wav,58004921-1
ʈʂíɻ,pájaro,bird,,BMAF01082021-1-combine:39:46.6,0:00.4,39:46.6,39:47.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[39_466-39_470].wav,30553627-2
lêʔ ʒḛ̀ʁé nìss jòɣòʒà,él/ella toma agua todos los días,he/she.resp drinks water everyday,,BMAF02032021-1-combine:35:09.0,0:02.4,35:09.0,35:11.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[35_090-35_114].wav,54548351-1
lìʒôʔ,tu/su casa,your house,,BMAF01152021-1-combine:31:47.4,0:00.8,31:47.4,31:48.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_474-31_483].wav,14201700-2
ʂlálè niǎ̰,,my foot hurts,,BMAF01152021-1-combine:17:53.2,0:01.0,17:53.2,17:54.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[17_532-17_543].wav,27235924-1
ʂàʒóʔ,nuestro padre,our father (exclusive),,BMAF01292021-1-combine:37:53.8,0:00.7,37:53.8,37:54.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[37_538-37_546].wav,30510523-1
ʂîsèʔ,su.formal agua,his/her.formal water,,BMAF01292021-1-combine:23:16.2,0:01.1,23:16.2,23:17.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[23_162-23_173].wav,27285821-1
nḛ̀ttó ʒḛ̀ʁtó nìss jòɣòʒà,nosotros tomamos agua todos los días,we.excl drink water everyday,,BMAF02032021-1-combine:45:28.9,0:02.5,45:28.9,45:31.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[45_289-45_314].wav,66171300-1
ʒîkò̰kàkéʔ,su perro,their dog (formal),,BMAF01292021-1-combine:28:00.8,0:01.0,28:00.8,28:01.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[28_008-28_019].wav,68400861-2
lḛ̂ ɣàkkè ʒḛ̂ʁɣàkkè nìss jòɣòʒà,ellos toman agua todos los días,they.resp drink water everyday,,BMAF02032021-1-combine:48:00.7,0:05.0,48:00.7,48:05.7,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[48_007-48_057].wav,61952575-2
békò tʂiáʔ ʒàwbá jètʰ,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:03:01.0,0:03.1,3:01.0,3:04.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[03_010-03_041].wav,05122030-2
tʂǎ,yendo,going,,BMAF01082021-1-combine:47:22.8,0:00.5,47:22.8,47:23.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[47_228-47_233].wav,35791761-1
tʂiǒʔ,tu/su,your,,BMAF01152021-1-combine:25:27.8,0:00.5,25:27.8,25:28.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[25_278-25_283].wav,88401710-2
nḛ̀ttó ʒèʁtó nìss jòɣòʒà,nosotros tomamos agua todos los días,we.excl drink water everyday,,BMAF02032021-1-combine:44:58.5,0:02.2,44:58.5,45:00.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[44_585-45_006].wav,52160743-1
ʐíkò ɣàkbéʔ,su.plr (informal) perro,their (informal) dog,,BMAF01292021-1-combine:12:47.0,0:01.3,12:47.0,12:48.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[12_470-12_483].wav,66758566-2
ʂóʔ,su padre,your father,,BMAF01292021-1-combine:34:02.0,0:00.8,34:02.0,34:02.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[34_020-34_028].wav,82926490-1
ʂnàkàkéʔ,su madre,their mother (formal),,BMAF01292021-1-combine:44:56.6,0:01.2,44:56.6,44:57.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_566-44_577].wav,11938818-2
ʂísbéʔ,su.informal agua,his/her.informal water,,BMAF01292021-1-combine:22:24.0,0:00.9,22:24.0,22:24.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[22_240-22_249].wav,25437107-2
ʂísòʔ,tu agua,your water,,BMAF01292021-1-combine:21:28.3,0:00.8,21:28.3,21:29.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_283-21_292].wav,49839296-2
bèɳéʔ,persona,person,,BMAF01082021-1-combine:37:17.8,0:00.6,37:17.8,37:18.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_178-37_183].wav,14488708-2
blèlá,ví,saw,,BMAF01082021-1-combine:07:10.7,0:00.7,7:10.7,7:11.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[07_107-07_114].wav,91625179-1
nèʁè bèláʔ,Leí ayer,I read yesterday,,BMAF02172021-1-combine:41:21.2,0:01.6,41:21.2,41:22.9,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[41_212-41_229].wav,81398745-2
lâl nís wèʁá nèʁé,Bebí mucha agua ayer,I drank a lot of water yesterday,,BMAF01082021-1-combine:11:44.7,0:02.8,11:44.7,11:47.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[11_447-11_474].wav,13328536-1
ʐíkòbéʔ,su (fam) perro,his/her (fam) dog,,BMAF01292021-1-combine:09:37.3,0:01.1,9:37.3,9:38.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[09_373-09_384].wav,61097009-1
lːo,,,,BMAF02102021-1-combine:43:00.6,0:00.4,43:00.6,43:01.0,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_006-43_010].wav,92418818-1
ʂîsèʔ,su agua,his/her water (formal),,BMAF01292021-1-combine:25:13.2,0:01.1,25:13.2,25:14.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[25_132-25_143].wav,93931914-2
ʂàléʔ,su padre,your pl. father,,BMAF01292021-1-combine:38:12.0,0:00.9,38:12.0,38:12.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[38_120-38_129].wav,28090825-2
ʂàʒóʔ,nuestro padre,our father (inclusive),,BMAF01292021-1-combine:37:42.4,0:00.9,37:42.4,37:43.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[37_424-37_433].wav,05494573-2
ríkwò̰,tu perro,your dog,,BMAF01292021-1-combine:07:27.0,0:00.8,7:27.0,7:27.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[07_270-07_279].wav,84556781-1
lìʒkàkβéʔ,su casa,their house (informal),,BMAF01152021-1-combine:35:56.9,0:01.1,35:56.9,35:58.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[35_569-35_580].wav,24683915-2
zá̃n,"mucho, muchos",a lot,,BMAF01082021-1-combine:23:56.5,0:00.7,23:56.5,23:57.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[23_565-23_572].wav,31920823-1
bènèʔ,persona,person,,BMAF01082021-1-combine:37:38.9,0:00.5,37:38.9,37:39.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_389-37_393].wav,21663283-1
ʒnàziàʔ,madrastra,stepmother,,BMAF01152021-1-combine:45:22.9,0:01.0,45:22.9,45:23.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[45_229-45_239].wav,17046830-1
nèðà nézlà nía̰ʔ,Yo sé decir,I know say,,BMAF01152021-1-combine:05:21.5,0:02.2,5:21.5,5:23.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[05_215-05_236].wav,40045282-1
nìaʔ,decir,I say,,BMAF01152021-1-combine:10:02.8,0:00.8,10:02.8,10:03.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[10_028-10_035].wav,06451422-2
ʐíkwḛ̀,su (resp) perro,his/her (resp) dog,,BMAF01292021-1-combine:15:05.0,0:00.8,15:05.0,15:05.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[15_050-15_058].wav,93093997-2
bàwḛ̂ʁá nîss,Ya tomé agua,I already drank water,,BMAF02032021-1-combine:22:21.8,0:01.3,22:21.8,22:23.1,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[22_218-22_231].wav,90289068-1
ðá,porque,because,,BMAF02032021-1-combine:17:13.5,0:00.4,17:13.5,17:13.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[17_135-17_139].wav,35312339-1
lḛ̀ʔe ʒèʁlè nìss jòɣòʒà,vosotros tomáis agua todos los días,you.plr drink water everyday,,BMAF02032021-1-combine:46:56.0,0:02.3,46:56.0,46:58.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[46_560-46_583].wav,85351297-2
wênlè zwâ̰ dà ʒèʁá nìss jòɣòʒà,Estas sano porque tomas agua todos los días,I am a healthy person because I drink water everyday,,BMAF02032021-1-combine:42:57.8,0:03.4,42:57.8,43:01.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[42_578-43_012].wav,06599807-1
lêʔ ʒḛ̀ʁé nìss jòɣòʒà,él/ella toma agua todos los días,he/she.resp drinks water everyday,,BMAF02032021-1-combine:35:00.9,0:02.8,35:00.9,35:03.7,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[35_009-35_037].wav,54548351-2
bèɳéʔ,persona,person,,BMAF01082021-1-combine:37:21.2,0:00.6,37:21.2,37:21.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_212-37_218].wav,14488708-2
jà̰,montaña,mountain,,BMAF01152021-1-combine:22:09.7,0:00.6,22:09.7,22:10.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[22_097-22_103].wav,54007696-2
nèðá nèzlá nìaʔ láwàʔ ʂíʒà,Yo sé decir ojo en Zapoteco,I know how to say eye in Zapotec,,BMAF01152021-1-combine:07:09.6,0:02.8,7:09.6,7:12.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[07_096-07_124].wav,67971064-1
nèdâ blèɺà̰ tò nò̰ɺé nèʁê,Ví una mujer ayer,I saw a woman yesterday,,BMAF01082021-1-combine:04:55.6,0:02.6,4:55.6,4:58.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[04_556-04_582].wav,25337905-1
ʂélà̰,mi banano/plátano,my banana,,BMAF02102021-1-combine:29:31.5,0:00.9,29:31.5,29:32.4,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[29_315-29_324].wav,60348834-1
ʐíkòɣàkbéʔ ʒàwbá jètʰ,su.informal perro come tortilla,their.informal dog eats tortilla,,BMAF01292021-1-combine:19:17.4,0:02.8,19:17.4,19:20.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[19_174-19_202].wav,44088789-2
t͡ʂàʔ,sartén,pan,,BMAF01082021-1-combine:46:45.3,0:00.4,46:45.3,46:45.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[46_453-46_457].wav,17615872-2
bìn,semilla,seed,,BMAF01082021-1-combine:40:52.5,0:00.6,40:52.5,40:53.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_525-40_531].wav,60905354-2
lè ʒḛ̀ʁò nìss jòɣòʒà,Tú tomas agua todos los días,You drink water everyday,,BMAF02032021-1-combine:34:02.2,0:02.4,34:02.2,34:04.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[34_022-34_046].wav,53183005-2
ʒòbtè,dos,two/both,,BMAF01152021-1-combine:19:19.6,0:00.6,19:19.6,19:20.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[19_196-19_202].wav,26268446-1
niàʔ,decir,I say,,BMAF01152021-1-combine:07:52.5,0:00.5,7:52.5,7:52.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[07_525-07_529].wav,41133244-2
jét láwàʔ dânáʔ,parte de la tortilla es tomada; señalando a la tortilla,part of the tortilla is taken; pointing to the tortilla,,BMAF02102021-1-combine:47:08.1,0:02.4,47:08.1,47:10.6,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[47_081-47_106].wav,01427575-1
ʂàʒóʔ,nuestro padre,our father (inclusive),,BMAF01292021-1-combine:36:48.5,0:00.9,36:48.5,36:49.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[36_485-36_494].wav,05494573-2
békòʔ,perro,dog,,BMAF01292021-1-combine:01:02.7,0:00.6,1:02.7,1:03.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[01_027-01_033].wav,47601734-2
nà̰tgé wḛ̀ʁá nìss,Tomé agua ahora,I drank water right now,,BMAF02032021-1-combine:30:35.8,0:01.6,30:35.8,30:37.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[30_358-30_374].wav,35772700-2
ʂnà̰léʔ,su madre (vuestra),your pl. mother,,BMAF01292021-1-combine:46:05.0,0:00.8,46:05.0,46:05.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[46_050-46_058].wav,75810112-2
nèðà nézlà nía̰ʔ,Yo sé decir,I know say,,BMAF01152021-1-combine:05:14.7,0:01.8,5:14.7,5:16.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[05_147-05_165].wav,40045282-2
ʐíkòlé,vuestro perro,your.plr dog,,BMAF01292021-1-combine:12:21.1,0:00.9,12:21.1,12:22.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[12_211-12_221].wav,57236189-2
ʈʂíɻ,pájaro,bird,,BMAF01082021-1-combine:39:37.3,0:00.5,39:37.3,39:37.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[39_373-39_378].wav,31051785-2
jàg,árbol,tree,,BMAF01082021-1-combine:40:35.3,0:00.6,40:35.3,40:35.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_353-40_359].wav,74669200-1
ʂísbéʔ,su.informal agua,his/her.informal water,,BMAF01292021-1-combine:22:18.6,0:01.1,22:18.6,22:19.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[22_186-22_196].wav,25437107-2
lḛ̀ʔe ʒèʁlè nìss jòɣòʒà,vosotros tomáis agua todos los días,you.plr drink water everyday,,BMAF02032021-1-combine:46:40.5,0:02.3,46:40.5,46:42.8,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[46_405-46_428].wav,85351297-2
"na, ne, ni, no, nu",,,,BMAF02102021-1-combine:34:02.1,0:02.1,34:02.1,34:04.1,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[34_021-34_041].wav,03498319-1
ɺi,,,,BMAF02102021-1-combine:43:04.5,0:00.5,43:04.5,43:05.0,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_045-43_050].wav,83634478-1
ʂlálè niǎ̰,me duele mi pie,my foot hurts,,BMAF01152021-1-combine:17:56.8,0:01.2,17:56.8,17:58.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[17_568-17_580].wav,30124810-2
ⁿrès,camino,path,,BMAF01152021-1-combine:20:32.6,0:01.0,20:32.6,20:33.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[20_326-20_336].wav,21444710-1
nès,camino,path,,BMAF01152021-1-combine:20:51.9,0:00.8,20:51.9,20:52.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[20_519-20_527].wav,23878717-2
ʐíkwò,tu perro,your dog,,BMAF01292021-1-combine:06:36.7,0:00.8,6:36.7,6:37.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[06_367-06_375].wav,53301440-1
békːò,perro,dog,,BMAF01082021-1-combine:40:20.8,0:00.6,40:20.8,40:21.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_208-40_214].wav,78221037-2
ʒêʁò nìss jògòʒà,¿Tomas agua todos los días?,Do you drink water everyday?,,BMAF02032021-1-combine:13:07.1,0:02.2,13:07.1,13:09.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[13_071-13_093].wav,00866791-2
bèɭ,pez,fish,,BMAF01082021-1-combine:34:32.7,0:00.6,34:32.7,34:33.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_327-34_333].wav,86547187-2
líʒéʔ,su/usted casa (el/ella),his/her house (formal),,BMAF01152021-1-combine:32:47.8,0:00.9,32:47.8,32:48.7,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[32_478-32_487].wav,25032832-1
bèɳéʔ,persona,person,,BMAF01082021-1-combine:34:40.7,0:00.6,34:40.7,34:41.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_407-34_413].wav,14488708-2
ʂlálè ʂóbtè niǎ̰,mis dos pies duelen,my two feet hurt,,BMAF01152021-1-combine:18:49.5,0:01.5,18:49.5,18:51.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[18_495-18_510].wav,97672406-1
tʂòpé nò̰ɺé,dos mujeres,two women,,BMAF01082021-1-combine:02:01.5,0:00.8,2:01.5,2:02.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[02_015-02_023].wav,87187214-1
nià̀ʔ,decir,I say,,BMAF01152021-1-combine:07:59.1,0:00.7,7:59.1,7:59.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[07_591-07_598].wav,11665054-1
nèðá jḛ̀ʁá nìss ʃê,Tomaré agua mañana,I will drink water tomorrow,,BMAF02032021-1-combine:32:48.5,0:02.4,32:48.5,32:50.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[32_485-32_509].wav,05282330-2
ʂnà̰léʔ,su madre (vuestra),your pl. mother,,BMAF01292021-1-combine:44:36.9,0:01.0,44:36.9,44:37.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_369-44_379].wav,75810112-2
lìʒá,mi casa,my house,,BMAF01152021-1-combine:31:18.8,0:00.8,31:18.8,31:19.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_188-31_196].wav,50571453-1
ʂnà̰tóʔ,nuestra madre,our mother (exclusive),,BMAF01292021-1-combine:44:09.5,0:01.3,44:09.5,44:10.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_095-44_108].wav,29188392-2
